txid,store,productid,title,category_id,category,sales,price,commission,order_date,pid,affid1,status,added_at,last_updated
bu7h77oeparro,amazon,B0CPSRXW3C,"Inditrust 1pc Double Handle Grease Gun Coupler Lock Nozzle High Pressure For Manual Pneumatic Electric Grease Gun Coupler Quick Release Grease Nozzle 1/8""NPT 10000PSI, Compatible with All Grease Guns",60,Home Improvement,287.29,287.29,14.14,"2024-1-8, 00:00",pnb,pnb3172-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
39h7avh73fa8g,amazon,B0CPPYHHF9,"PumPum Pregnancy Pillow, C Shaped Full Body Pillow for Maternity Support, Pregnant Women Sleeping Pillow with Velvet Cover (Dark Grey)",201,Home,846.61,846.61,34.71,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
a8kl9nmddi9n7,amazon,B0CMT9CZQ3,"hago Laptop Accessories - Waterproof Gaming Mouse Pad, Vegan PU Leather Table Mat, Ideal for Work and Gaming (35 x 60 CM, Brown & Light Grey)",147,"Computers, Tablets & Components",321.19,321.19,10.54,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
4u91l7ni8cb60,amazon,B0CKPKFTV1,Autokaar Car Door Handle Protector Sticker PU Finger Scratch Guard Transparent Universal for Toyota Innova/Hyryder/Fortuner/Glanza/Camry/Cruiser/Rumion/Crysta,263,Automotive,222.32,222.32,10.94,"2024-1-8, 00:00",pnb,pnb6625-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
bio4d38dm4eha,amazon,B0CJRZTSXV,"KTU Reusable Face Razor For Women Facial Hair - 3 | Instant Glow & Painless Hair Removal | For Eyebrows, Upper Lip, Chin, Peach Fuzz, Forehead, Unibrow, Sideburns",194,Beauty & Grooming,62.71,62.71,2.57,"2024-1-8, 00:00",bing,bgms-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
6te41ric7083u,amazon,B0CJNNNPLS,"AGARO HD-1120 2000 Watts Professional Hair Dryer with AC Copper Motor, Concentrator, Diffuser, Comb, Hot & Cold Air, 2 Speed 3 Temperature Settings with Cool Shot, For both Men & Women, Black",364,Health &amp; Personal Care Appliances,"1,312.72","1,312.72",53.82,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
7nek9o3hp8jgj,amazon,B0CF3C76XL,ADAAZEL Large 45 L Tiranga Durable Fancy Modern Unisex school bags ofice bags Travel Laptop Bags Backpacks Royal Blue,198,Luggage,356.25,356.25,14.6,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
cd3gf0kd174dc,amazon,B0CDQ92N3W,"Redmi 12 ( Moonstone Silver, 4GB RAM, 128B Storage )",107,Cell Phones & Accessories,"8,220.34","8,220.34",67.4,"2024-1-8, 00:00",pnb,pnb603-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
fh38265vvo4ve,amazon,B0CDH5T7YL,KAYU Boys Solid Fleece Warm Sleeveless Jackets for Winters (Pack of 1) Yellow,193,Clothing & Accessories,846.61,846.61,34.71,"2024-1-8, 00:00",pnb,pnb6558-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
4unm5d7450oap,amazon,B0C9QPM3BN,"OnePlus Nord CE 3 5G (Aqua Surge, 12GB RAM, 256GB Storage)",107,Cell Phones & Accessories,"22,880.50","22,880.50",281.43,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
674l3cr5p1pld,amazon,B0C8NBKG8C,JIALTO 360° Rotatable Cleaning Mops Adjustable Triangle Floor Cleaner Mop with Stainless Steel Long Handle Push-Pull Squeezing Cleaning Mop Dry & Wet Mop for Floor Cleaning Mop for Home,60,Home Improvement,268.08,268.08,13.19,"2024-1-8, 00:00",pnb,pnb3427-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
avjqala7tp73j,amazon,B0C6Y8F75R,JUST RIDER 2 In 1 Running Sports Shorts For Men With Mobile Phone Pocket Light Weight Quick Dry Fabric For Gym Athletic Workout Running Shorts Lightweight Training Yoga Short With Towel Loop(M)Black,193,Clothing & Accessories,474.29,474.29,19.44,"2024-1-8, 00:00",pnb,pnb7121-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
fs2gmmn00b06k,amazon,B0C4FFBXV8,"Lava A1 Josh with BOL Keypad Mobile, Bolne wala Phone, Message Speak, Caller Speak, Number Speak, 1000mAh Battery Blue Silver",107,Cell Phones & Accessories,792.37,792.37,3.25,"2024-1-8, 00:00",pnb,pnb2844-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
9b4n716mc64ig,amazon,B0C3XW2RV9,VIMAL JONNEY Regular fit Cotton Trackpant for Women (Pack of 2)-D10_BLK_NVY_002-XXL,193,Clothing & Accessories,560.04,560.04,22.96,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
8eh05ontkdios,amazon,B0BZWWQDWD,Assamese Toss cotton single Riha by senehi,193,Clothing & Accessories,570.48,570.48,23.39,"2024-1-8, 00:00",pnb,pnb7160-21,cancelled,"2024-1-9, 10:20","2024-1-9, 10:20"
4iqqk4r90mh6m,amazon,B0BXNVPRGS,"Philips Battery Powered SkinProtect Beard Trimmer for Men - Lasts 4x Longer, DuraPower Technology, Cordless Rechargeable with USB Charging, Charging Indicator, Travel Lock, No Oil Needed BT1232/18",364,Health &amp; Personal Care Appliances,674.58,674.58,27.66,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
c9ktbuhro2ja6,amazon,B0BVWQ3FTP,"PRS Ayurveda Neem Oil 225ml - Pure Cold Pressed for Skin & Hair - Reduces Pimples, Boosts Hair Growth - Natural Remedy for Acne and Scalp Health",194,Beauty & Grooming,285,285,11.69,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
3ra6jvkapqadv,amazon,B0BKPZFGFC,"DHOTRA 700 GSM, Microfiber Double Layered Cloth Extra Thick Microfiber Cleaning Cloths Perfect for Bike, Auto, Cars (Size 40cm x 40cm) (Pack of 2) (700 GSM)",263,Automotive,237.14,237.14,11.67,"2024-1-8, 00:00",bing,bgms-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
6m9g0e7ltlau8,amazon,B0BGCQ2DP9,"HB PLUS Selfie Stick, Extendable Selfie Stick with Wireless Remote and Tripod Stand, Portable, Lightweight, Compatible with All Smartphone and Mobile (Black Color)",421,"Camera, Photo & Video",272.03,272.03,11.15,"2024-1-8, 00:00",pnb,pnb7161-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
davnemnk7c9jf,amazon,B0BF9TWMMJ,"Speedex Stainless Steel 1000 ML Water Bottle/Thunder for fridge/School/Outdoor/Gym/Home/office/Boys/Girls/Kids, Leak Proof And BPA Free(PASTEL BLUE COLOUR, SIPPER CAP, SET OF 1, 1 LITRE)",79,Kitchen & Dining,356.25,356.25,17.53,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
avmpij5iv223t,amazon,B0B4HHM45G,"Men Night wear Pajama (Single) (XL) Yellow",193,Clothing & Accessories,242.86,242.86,9.95,"2024-1-8, 00:00",pnb,pnb7058-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
27a2e4m8hu90a,amazon,B0B45VRBV7,Teri Beri Muslin Cotton Face Towels for Newborn Baby Extra Soft Hankies Reusable Napkins for Infants Toddlers (Pack of 5) White,201,Home,357.14,357.14,14.65,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
4ji5do9i030rg,amazon,B09WKKYXNJ,OTUS Men's Cotton Casual Slim Fit Solid Grey Shirt (Grey; X-Large),193,Clothing & Accessories,379.05,379.05,15.54,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
dh8a2a3i2pej5,amazon,B09T22BMWS,LOREM Stylish Genuine Rexine Laptop Messenger Bag/Shoulder Messenger Bag With Detachable Strap Sling Office Bag For Men (Fz-Bg07),309,"Shoes, Handbags, Wallets, Sunglasses","1,016.10","1,016.10",41.66,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
40mglb5d2ackm,amazon,B09PLCFV29,BATH GURU ABS Wall Mounted Soap Shampoo Sanitizer Lotion Gel Dispenser Liquid Handwash Soap Dispenser for Bathroom Kitchen 300 Ml Pack of 1 Push Black,60,Home Improvement,279.66,279.66,13.76,"2024-1-8, 00:00",pnb,pnb6983-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
cuugk1dut3tm2,amazon,B09MVV56RR,"LuvLap Pant Style Baby Diapers, New Born/X-Small (NB/XS), 30 Count, For babies of Upto 5Kg with Aloe Vera Lotion for rash protection, with upto 12hr protection, Diapers",75,Baby & Nursery,195.54,195.54,9.62,"2024-1-8, 00:00",pnb,pnb4847-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
8vl6phjg0vlln,amazon,B094QCV9S6,Adidas Men Mesh Adi-Shawt M Running Shoe CBLACK/Stone/BLUNIT (UK-10),309,"Shoes, Handbags, Wallets, Sunglasses","1,914.41","1,914.41",78.49,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
6v128hkq4c5ge,amazon,B08WRKSF9D,"V-Guard V-Guard Divino 5 Star Rated 15 Litre Storage Water Heater (Geyser) with Advanced Safety Features, White",79,Kitchen & Dining,"5,592.37","5,592.37",275.14,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
76eo68o32mvtl,amazon,B08PBY7L13,"The Man Company Lightening Lip Balm for Dry, Chapped, Dark and Smoky Lips - 4gm | Moisturizes, Nourishes & Soften Lips with the power of Vitamin E, Coconut & Olive Oil",194,Beauty & Grooming,140.68,140.68,5.76,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
akoso500fd4ag,amazon,B08MGMF9ZL,"L'Oreal Paris Serum, Protection and Shine, For Dry, Flyaway & Frizzy Hair, With 6 Rare Flower Oils, Extraordinary Oil, 30ml",194,Beauty & Grooming,202.54,202.54,8.31,"2024-1-8, 00:00",pnb,pnb7123-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
2ogkcgb09283s,amazon,B08J7WNB5D,JAF 6155 Makeup kit and 5 Pieces Brush and 2 Pieces Blender Puff Combo - Multicolor,194,Beauty & Grooming,250,250,10.25,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
148a0ndq3f421,amazon,B08HSTYT8N,DiSano Pure Honey 500 g (pack of 1),325,Grocery & Gourmet Food,94.29,94.29,6.18,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
fo34m8bd79sl8,amazon,B08CSKH27R,"FEDUS Cat6 Ethernet Cable, 15 Meter High Speed 550MHZ / 10 Gigabit Speed UTP LAN Cable, Network Cable Internet Cable RJ45 Cable LAN Wire, Patch Computer Cord Gigabit Category 6 Wires for Modem",147,"Computers, Tablets & Components",317.8,317.8,10.42,"2024-1-8, 00:00",pnb,pnb2555-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
66p9ekh2fq644,amazon,B08C1FY7KN,"Hawkins Futura Long Body Handle with Screw, Spring Washer and Nut for 5 Litre to 7 Litre Futura Pressure Cooker | 5.5 Litre Futura Stainless Steel Pressure Cooker (F5901), Black, Standard",79,Kitchen & Dining,233.05,233.05,11.46,"2024-1-8, 00:00",scandid_web,shoppingwish-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
fp8mtio0s2k1e,amazon,B08BWSMYBQ,"ROLLYWARE Premium 100% Stainless Steel Push Clip Lockable Technology Hangers for Clothes Velvet, Trouser, Saree, Pants Skirt Wardrobe Pack of 10",201,Home,588.4,588.4,24.12,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
e9cfihdqjp2rg,amazon,B085KTJZ6K,"HealthyHey Nutrition Zinc Citrate, Supports Immune and Immunity - 120 Veg Capsules",121,Health & Household,481.36,481.36,19.74,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
ea54d9poo1cbj,amazon,B085J5Y9CR,Google Play recharge code - Digital Voucher,644,Other,700,700,2.46,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
9o1g24hn5erjc,amazon,B083K1Y326,BAHAR Dry Fruits & Nuts With Pure and Natural Honey 500gm,325,Grocery & Gourmet Food,476.19,476.19,31.24,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
67eqq0fr2qee8,amazon,B07WJGLB18,"Zandu Satavarex Granules, 210 g, Enriched with Satavari/Shatavari, Clinically Tested, Natural and Safe, Scientifically Proven",121,Health & Household,238.4,238.4,9.77,"2024-1-8, 00:00",pnb,pnb4847-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
315o73m2ftkul,amazon,B07W3MX8CK,"Nikunj Dhaba Special Leaf Tea, 1kg - India's No.1 Tea Brand, Get Assured Rs.50 Cashback",325,Grocery & Gourmet Food,160.95,160.95,10.56,"2024-1-8, 00:00",pnb,pnb2614-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
fbi9secjvpu9l,amazon,B07ST44K87,Acnos® Premium 3 Color Army Shockproof Waterproof Digital Sports Watch for Mens Kids Sports Watch for Boys - Military Army Watch for Men (1.Green),241,Watches,278.22,278.22,11.41,"2024-1-8, 00:00",bing,bgms-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
dihln90h2gpfu,amazon,B07RBKR73C,BEVI BEVI - Home Super Solid Yellow 144 TC Microfiber Double King Bedsheet with 2 Pillow Cover -(Plain Yellow),201,Home,475.24,475.24,19.48,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
bbtrcaoptd1mk,amazon,B07Q4Q8YH9,boAt BassHeads 225 in-Ear Wired Earphones,23,Electronic Components & Home Audio,592.37,592.37,24.29,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
cd7egq9d6ar51,amazon,B07N1R4X3G,POPIO Tempered Glass for Apple iPhone XR (Transparent)-Edge to Edge Full Screen Coverage,353,Wireless Accessories,253.39,253.39,8.31,"2024-1-8, 00:00",pnb,pnb7120-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
